step,roll,pitch,yaw,position_n,position_e,position_d,velocity_u,Va,gear_deploy,throttle,elevator
43,-0.0140394,3.66341e-06,-2.46905e-08,0.191648,-1.78552e-06,0.016481,1.3424,1.40415,1,0.889197,-3.43722e-05
44,-0.0150493,3.81157e-06,-2.8948e-08,0.206001,-2.22125e-06,0.0164801,1.40415,1.46661,1,0.894601,-5.51795e-05
45,-0.0160998,3.95621e-06,-3.38644e-08,0.220982,-2.74359e-06,0.0164777,1.46661,1.52976,1,0.899741,-8.81337e-05
46,-0.0171908,4.09847e-06,-3.95632e-08,0.236598,-3.36632e-06,0.0164738,1.52976,1.59355,1,0.904631,-0.000140294
47,-0.0183225,4.23947e-06,-4.61976e-08,0.252855,-4.10497e-06,0.0164686,1.59355,1.65795,1,0.909282,-0.000222825
48,-0.0194948,4.38031e-06,-5.39575e-08,0.269759,-4.97688e-06,0.0164623,1.65795,1.72294,1,0.913706,-0.000353378
49,-0.0207076,4.52199e-06,-6.30783e-08,0.287316,-6.00147e-06,0.016455,1.72294,1.78847,1,0.917915,-0.000559872
50,-0.0219608,4.66549e-06,-7.38535e-08,0.30553,-7.20029e-06,0.0164468,1.78847,1.85453,1,0.921918,-0.000886451
51,-0.0232542,4.81171e-06,-8.66522e-08,0.324408,-8.59726e-06,0.0164379,1.85453,1.92108,1,0.925726,-0.00140293
52,-0.0245878,4.96154e-06,-1.01945e-07,0.343953,-1.02188e-05,0.0164283,1.92108,1.9881,1,0.929349,-0.00169937
53,-0.0259612,5.11588e-06,-1.18703e-07,0.364171,-1.20942e-05,0.0164183,1.9881,2.05556,1,0.932794,-0.00154275
54,-0.0273742,5.27185e-06,-1.35865e-07,0.385066,-1.42554e-05,0.0164077,2.05556,2.12344,1,0.936072,-0.00185658
55,-0.0288265,5.42638e-06,-1.56845e-07,0.406642,-1.67375e-05,0.0163967,2.12344,2.19171,1,0.93919,-0.0015928
56,-0.0303177,5.58681e-06,-1.79538e-07,0.428902,-1.95789e-05,0.0163853,2.19171,2.26036,1,0.942156,-0.00196655
57,-0.0318476,5.74704e-06,-2.08674e-07,0.45185,-2.28212e-05,0.0163736,2.26036,2.32935,1,0.944977,-0.0015879
58,-0.0334156,5.91691e-06,-2.40712e-07,0.47549,-2.651e-05,0.0163615,2.32935,2.39867,1,0.94766,-0.00206035
59,-0.0350214,6.08637e-06,-2.82412e-07,0.499824,-3.06945e-05,0.016349,2.39867,2.46831,1,0.950213,-0.00154397
60,-0.0366644,6.2693e-06,-3.28151e-07,0.524857,-3.5428e-05,0.0163362,2.46831,2.53823,1,0.952641,-0.00213647
61,-0.0383442,6.45019e-06,-3.87596e-07,0.55059,-4.0768e-05,0.016323,2.53823,2.60842,1,0.954951,-0.00148787
62,-0.0400603,6.64886e-06,-4.52484e-07,0.577026,-4.67768e-05,0.0163094,2.60842,2.67888,1,0.957148,-0.00202706
63,-0.0418122,6.843e-06,-5.34962e-07,0.604168,-5.35206e-05,0.0162954,2.67888,2.74957,1,0.959238,-0.00161004
64,-0.0435991,7.05719e-06,-6.27831e-07,0.632018,-6.10714e-05,0.0162811,2.74957,2.82048,1,0.961226,-0.00210117
65,-0.0454207,7.27073e-06,-7.41737e-07,0.660578,-6.95054e-05,0.0162663,2.82048,2.8916,1,0.963117,-0.00154482
66,-0.0472761,7.50349e-06,-8.6879e-07,0.689851,-7.89051e-05,0.016251,2.8916,2.96292,1,0.964916,-0.00211954
67,-0.0491648,7.73238e-06,-1.02362e-06,0.719837,-8.93573e-05,0.0162353,2.96292,3.03441,1,0.966627,-0.00152679
68,-0.0510861,7.9849e-06,-1.19614e-06,0.75054,-0.000100956,0.0162192,3.03441,3.10608,1,0.968254,-0.00208705
69,-0.0530394,8.23188e-06,-1.40336e-06,0.781959,-0.000113799,0.0162026,3.10608,3.17789,1,0.969803,-0.0015599
70,-0.0550238,8.50443e-06,-1.63518e-06,0.814098,-0.000127993,0.0161856,3.17789,3.24986,1,0.971275,-0.0021461
71,-0.0570388,8.77204e-06,-1.90992e-06,0.846957,-0.000143649,0.016168,3.24986,3.32195,1,0.972676,-0.00149973
